rank_input,label,htf_bias,require_chart_trend,require_pattern,require_retest,require_ghost_sl_entry,session,trades,win_rate,return_pct,max_dd_pct,profit_factor,final_equity
154,bias=pair|trend1|pat1|ret1|ghost0|sess=overlap,pair,True,True,True,False,overlap,0,0.0,0.0,0.0,0.0,10000.0
155,bias=pair|trend1|pat1|ret1|ghost0|sess=all,pair,True,True,True,False,all,0,0.0,0.0,0.0,0.0,10000.0
156,bias=pair|trend1|pat1|ret1|ghost1|sess=asia,pair,True,True,True,True,asia,0,0.0,0.0,0.0,0.0,10000.0
157,bias=pair|trend1|pat1|ret1|ghost1|sess=london,pair,True,True,True,True,london,0,0.0,0.0,0.0,0.0,10000.0
158,bias=pair|trend1|pat1|ret1|ghost1|sess=newyork,pair,True,True,True,True,newyork,0,0.0,0.0,0.0,0.0,10000.0
159,bias=pair|trend1|pat1|ret1|ghost1|sess=overlap,pair,True,True,True,True,overlap,0,0.0,0.0,0.0,0.0,10000.0
160,bias=pair|trend1|pat1|ret1|ghost1|sess=all,pair,True,True,True,True,all,0,0.0,0.0,0.0,0.0,10000.0
161,bias=weekly|trend0|pat0|ret0|ghost0|sess=asia,weekly,False,False,False,False,asia,302,0.245033,-0.000388,0.001263,0.914049,9996.12
162,bias=weekly|trend0|pat0|ret0|ghost0|sess=london,weekly,False,False,False,False,london,319,0.219436,-0.000921,0.001564,0.814348,9990.79
163,bias=weekly|trend0|pat0|ret0|ghost0|sess=newyork,weekly,False,False,False,False,newyork,331,0.274924,0.000285,0.001043,1.059551,10002.85
164,bias=weekly|trend0|pat0|ret0|ghost0|sess=overlap,weekly,False,False,False,False,overlap,239,0.25523,7.4e-05,0.001524,1.020934,10000.74
165,bias=weekly|trend0|pat0|ret0|ghost0|sess=all,weekly,False,False,False,False,all,412,0.259709,4.6e-05,0.000874,1.007592,10000.46
166,bias=weekly|trend0|pat0|ret0|ghost1|sess=asia,weekly,False,False,False,True,asia,149,0.248322,-7.6e-05,0.000612,0.966177,9999.24
167,bias=weekly|trend0|pat0|ret0|ghost1|sess=london,weekly,False,False,False,True,london,170,0.276471,0.00036,0.001292,1.146314,10003.6
168,bias=weekly|trend0|pat0|ret0|ghost1|sess=newyork,weekly,False,False,False,True,newyork,153,0.326797,0.00094,0.000459,1.456208,10009.4
169,bias=weekly|trend0|pat0|ret0|ghost1|sess=overlap,weekly,False,False,False,True,overlap,123,0.325203,0.000758,0.002785,1.461645,10007.58
170,bias=weekly|trend0|pat0|ret0|ghost1|sess=all,weekly,False,False,False,True,all,204,0.245098,-8e-05,0.000637,0.97399,9999.2
171,bias=weekly|trend0|pat0|ret1|ghost0|sess=asia,weekly,False,False,True,False,asia,0,0.0,0.0,0.0,0.0,10000.0
172,bias=weekly|trend0|pat0|ret1|ghost0|sess=london,weekly,False,False,True,False,london,0,0.0,0.0,0.0,0.0,10000.0
173,bias=weekly|trend0|pat0|ret1|ghost0|sess=newyork,weekly,False,False,True,False,newyork,0,0.0,0.0,0.0,0.0,10000.0
174,bias=weekly|trend0|pat0|ret1|ghost0|sess=overlap,weekly,False,False,True,False,overlap,0,0.0,0.0,0.0,0.0,10000.0
175,bias=weekly|trend0|pat0|ret1|ghost0|sess=all,weekly,False,False,True,False,all,0,0.0,0.0,0.0,0.0,10000.0
176,bias=weekly|trend0|pat0|ret1|ghost1|sess=asia,weekly,False,False,True,True,asia,0,0.0,0.0,0.0,0.0,10000.0
177,bias=weekly|trend0|pat0|ret1|ghost1|sess=london,weekly,False,False,True,True,london,0,0.0,0.0,0.0,0.0,10000.0
178,bias=weekly|trend0|pat0|ret1|ghost1|sess=newyork,weekly,False,False,True,True,newyork,0,0.0,0.0,0.0,0.0,10000.0
179,bias=weekly|trend0|pat0|ret1|ghost1|sess=overlap,weekly,False,False,True,True,overlap,0,0.0,0.0,0.0,0.0,10000.0
180,bias=weekly|trend0|pat0|ret1|ghost1|sess=all,weekly,False,False,True,True,all,0,0.0,0.0,0.0,0.0,10000.0
181,bias=weekly|trend0|pat1|ret0|ghost0|sess=asia,weekly,False,True,False,False,asia,139,0.194245,-0.000601,0.000869,0.729451,9993.99
182,bias=weekly|trend0|pat1|ret0|ghost0|sess=london,weekly,False,True,False,False,london,107,0.233645,-0.000221,0.000434,0.865242,9997.79
183,bias=weekly|trend0|pat1|ret0|ghost0|sess=newyork,weekly,False,True,False,False,newyork,109,0.293578,0.000276,0.001033,1.181374,10002.76
184,bias=weekly|trend0|pat1|ret0|ghost0|sess=overlap,weekly,False,True,False,False,overlap,62,0.225806,-0.00014,0.001083,0.850674,9998.6
185,bias=weekly|trend0|pat1|ret0|ghost0|sess=all,weekly,False,True,False,False,all,241,0.244813,-0.00026,0.001817,0.928241,9997.4
186,bias=weekly|trend0|pat1|ret0|ghost1|sess=asia,weekly,False,True,False,True,asia,71,0.225352,-0.00014,0.000496,0.872691,9998.6
187,bias=weekly|trend0|pat1|ret0|ghost1|sess=london,weekly,False,True,False,True,london,59,0.271186,0.0001,0.000338,1.116238,10001.0
188,bias=weekly|trend0|pat1|ret0|ghost1|sess=newyork,weekly,False,True,False,True,newyork,52,0.192308,-0.00024,0.000374,0.714256,9997.6
189,bias=weekly|trend0|pat1|ret0|ghost1|sess=overlap,weekly,False,True,False,True,overlap,26,0.192308,-0.00012,0.000234,0.714262,9998.8
190,bias=weekly|trend0|pat1|ret0|ghost1|sess=all,weekly,False,True,False,True,all,102,0.245098,-4e-05,0.000491,0.973986,9999.6
191,bias=weekly|trend0|pat1|ret1|ghost0|sess=asia,weekly,False,True,True,False,asia,0,0.0,0.0,0.0,0.0,10000.0
192,bias=weekly|trend0|pat1|ret1|ghost0|sess=london,weekly,False,True,True,False,london,0,0.0,0.0,0.0,0.0,10000.0
193,bias=weekly|trend0|pat1|ret1|ghost0|sess=newyork,weekly,False,True,True,False,newyork,0,0.0,0.0,0.0,0.0,10000.0
194,bias=weekly|trend0|pat1|ret1|ghost0|sess=overlap,weekly,False,True,True,False,overlap,0,0.0,0.0,0.0,0.0,10000.0
