rank_input,label,htf_bias,require_chart_trend,require_pattern,require_retest,session,trades,win_rate,return_pct,max_dd_pct,profit_factor,final_equity,rank_pf
87,bias=weekly|trend0|pat0|ret1|sess=london,weekly,False,False,True,london,0,0.0,0.0,0.0,0.0,0.0,142
88,bias=weekly|trend0|pat0|ret1|sess=newyork,weekly,False,False,True,newyork,0,0.0,0.0,0.0,0.0,0.0,143
89,bias=weekly|trend0|pat0|ret1|sess=overlap,weekly,False,False,True,overlap,0,0.0,0.0,0.0,0.0,0.0,144
90,bias=weekly|trend0|pat0|ret1|sess=all,weekly,False,False,True,all,0,0.0,0.0,0.0,0.0,0.0,145
96,bias=weekly|trend0|pat1|ret1|sess=asia,weekly,False,True,True,asia,0,0.0,0.0,0.0,0.0,0.0,146
97,bias=weekly|trend0|pat1|ret1|sess=london,weekly,False,True,True,london,0,0.0,0.0,0.0,0.0,0.0,147
98,bias=weekly|trend0|pat1|ret1|sess=newyork,weekly,False,True,True,newyork,0,0.0,0.0,0.0,0.0,0.0,148
99,bias=weekly|trend0|pat1|ret1|sess=overlap,weekly,False,True,True,overlap,0,0.0,0.0,0.0,0.0,0.0,149
100,bias=weekly|trend0|pat1|ret1|sess=all,weekly,False,True,True,all,0,0.0,0.0,0.0,0.0,10000.0,150
106,bias=weekly|trend1|pat0|ret1|sess=asia,weekly,True,False,True,asia,0,0.0,0.0,0.0,0.0,10000.0,151
107,bias=weekly|trend1|pat0|ret1|sess=london,weekly,True,False,True,london,0,0.0,0.0,0.0,0.0,10000.0,152
108,bias=weekly|trend1|pat0|ret1|sess=newyork,weekly,True,False,True,newyork,0,0.0,0.0,0.0,0.0,10000.0,153
109,bias=weekly|trend1|pat0|ret1|sess=overlap,weekly,True,False,True,overlap,0,0.0,0.0,0.0,0.0,10000.0,154
110,bias=weekly|trend1|pat0|ret1|sess=all,weekly,True,False,True,all,0,0.0,0.0,0.0,0.0,10000.0,155
116,bias=weekly|trend1|pat1|ret1|sess=asia,weekly,True,True,True,asia,0,0.0,0.0,0.0,0.0,10000.0,156
117,bias=weekly|trend1|pat1|ret1|sess=london,weekly,True,True,True,london,0,0.0,0.0,0.0,0.0,10000.0,157
118,bias=weekly|trend1|pat1|ret1|sess=newyork,weekly,True,True,True,newyork,0,0.0,0.0,0.0,0.0,10000.0,158
119,bias=weekly|trend1|pat1|ret1|sess=overlap,weekly,True,True,True,overlap,0,0.0,0.0,0.0,0.0,10000.0,159
120,bias=weekly|trend1|pat1|ret1|sess=all,weekly,True,True,True,all,0,0.0,0.0,0.0,0.0,10000.0,160
126,bias=daily|trend0|pat0|ret1|sess=asia,daily,False,False,True,asia,0,0.0,0.0,0.0,0.0,10000.0,161
127,bias=daily|trend0|pat0|ret1|sess=london,daily,False,False,True,london,0,0.0,0.0,0.0,0.0,10000.0,162
128,bias=daily|trend0|pat0|ret1|sess=newyork,daily,False,False,True,newyork,0,0.0,0.0,0.0,0.0,10000.0,163
129,bias=daily|trend0|pat0|ret1|sess=overlap,daily,False,False,True,overlap,0,0.0,0.0,0.0,0.0,10000.0,164
130,bias=daily|trend0|pat0|ret1|sess=all,daily,False,False,True,all,0,0.0,0.0,0.0,0.0,10000.0,165
136,bias=daily|trend0|pat1|ret1|sess=asia,daily,False,True,True,asia,0,0.0,0.0,0.0,0.0,10000.0,166
137,bias=daily|trend0|pat1|ret1|sess=london,daily,False,True,True,london,0,0.0,0.0,0.0,0.0,10000.0,167
138,bias=daily|trend0|pat1|ret1|sess=newyork,daily,False,True,True,newyork,0,0.0,0.0,0.0,0.0,10000.0,168
139,bias=daily|trend0|pat1|ret1|sess=overlap,daily,False,True,True,overlap,0,0.0,0.0,0.0,0.0,10000.0,169
140,bias=daily|trend0|pat1|ret1|sess=all,daily,False,True,True,all,0,0.0,0.0,0.0,0.0,10000.0,170
146,bias=daily|trend1|pat0|ret1|sess=asia,daily,True,False,True,asia,0,0.0,0.0,0.0,0.0,10000.0,171
147,bias=daily|trend1|pat0|ret1|sess=london,daily,True,False,True,london,0,0.0,0.0,0.0,0.0,10000.0,172
148,bias=daily|trend1|pat0|ret1|sess=newyork,daily,True,False,True,newyork,0,0.0,0.0,0.0,0.0,10000.0,173
149,bias=daily|trend1|pat0|ret1|sess=overlap,daily,True,False,True,overlap,0,0.0,0.0,0.0,0.0,10000.0,174
150,bias=daily|trend1|pat0|ret1|sess=all,daily,True,False,True,all,0,0.0,0.0,0.0,0.0,10000.0,175
156,bias=daily|trend1|pat1|ret1|sess=asia,daily,True,True,True,asia,0,0.0,0.0,0.0,0.0,10000.0,176
157,bias=daily|trend1|pat1|ret1|sess=london,daily,True,True,True,london,0,0.0,0.0,0.0,0.0,10000.0,177
158,bias=daily|trend1|pat1|ret1|sess=newyork,daily,True,True,True,newyork,0,0.0,0.0,0.0,0.0,10000.0,178
159,bias=daily|trend1|pat1|ret1|sess=overlap,daily,True,True,True,overlap,0,0.0,0.0,0.0,0.0,10000.0,179
160,bias=daily|trend1|pat1|ret1|sess=all,daily,True,True,True,all,0,0.0,0.0,0.0,0.0,10000.0,180
166,bias=4h|trend0|pat0|ret1|sess=asia,4h,False,False,True,asia,0,0.0,0.0,0.0,0.0,10000.0,181
167,bias=4h|trend0|pat0|ret1|sess=london,4h,False,False,True,london,0,0.0,0.0,0.0,0.0,10000.0,182
168,bias=4h|trend0|pat0|ret1|sess=newyork,4h,False,False,True,newyork,0,0.0,0.0,0.0,0.0,10000.0,183
169,bias=4h|trend0|pat0|ret1|sess=overlap,4h,False,False,True,overlap,0,0.0,0.0,0.0,0.0,10000.0,184
170,bias=4h|trend0|pat0|ret1|sess=all,4h,False,False,True,all,0,0.0,0.0,0.0,0.0,10000.0,185
176,bias=4h|trend0|pat1|ret1|sess=asia,4h,False,True,True,asia,0,0.0,0.0,0.0,0.0,10000.0,186
177,bias=4h|trend0|pat1|ret1|sess=london,4h,False,True,True,london,0,0.0,0.0,0.0,0.0,10000.0,187
178,bias=4h|trend0|pat1|ret1|sess=newyork,4h,False,True,True,newyork,0,0.0,0.0,0.0,0.0,10000.0,188
179,bias=4h|trend0|pat1|ret1|sess=overlap,4h,False,True,True,overlap,0,0.0,0.0,0.0,0.0,10000.0,189
180,bias=4h|trend0|pat1|ret1|sess=all,4h,False,True,True,all,0,0.0,0.0,0.0,0.0,10000.0,190
186,bias=4h|trend1|pat0|ret1|sess=asia,4h,True,False,True,asia,0,0.0,0.0,0.0,0.0,10000.0,191
187,bias=4h|trend1|pat0|ret1|sess=london,4h,True,False,True,london,0,0.0,0.0,0.0,0.0,10000.0,192
188,bias=4h|trend1|pat0|ret1|sess=newyork,4h,True,False,True,newyork,0,0.0,0.0,0.0,0.0,10000.0,193
189,bias=4h|trend1|pat0|ret1|sess=overlap,4h,True,False,True,overlap,0,0.0,0.0,0.0,0.0,10000.0,194
190,bias=4h|trend1|pat0|ret1|sess=all,4h,True,False,True,all,0,0.0,0.0,0.0,0.0,10000.0,195
196,bias=4h|trend1|pat1|ret1|sess=asia,4h,True,True,True,asia,0,0.0,0.0,0.0,0.0,10000.0,196
197,bias=4h|trend1|pat1|ret1|sess=london,4h,True,True,True,london,0,0.0,0.0,0.0,0.0,10000.0,197
198,bias=4h|trend1|pat1|ret1|sess=newyork,4h,True,True,True,newyork,0,0.0,0.0,0.0,0.0,10000.0,198
199,bias=4h|trend1|pat1|ret1|sess=overlap,4h,True,True,True,overlap,0,0.0,0.0,0.0,0.0,10000.0,199
200,bias=4h|trend1|pat1|ret1|sess=all,4h,True,True,True,all,0,0.0,0.0,0.0,0.0,10000.0,200
